Athlète,Objectif,Dénivelé,Durée_secondes,Distance,Vitesse max,Vitesse moyenne,Température,Humidité,Vitesse vent,Qualité Air Pondérée,Mesure Performance
Clément Berthet,2023,151570,1174523.0,10173.39,96.2,31.715315315315316,11.297297297297296,66.70270270270271,10.510810810810812,28.371013161190607,6619.0
David Gaudu,2021,89714,658468.0,5935.25,97.2,33.02916666666667,9.0,70.625,12.847916666666668,35.537305346907296,1310.0
David Gaudu,2022,185431,1413802.0,12220.11,129.9,31.170992366412214,14.48091603053435,65.31297709923665,10.841984732824427,30.682935995436864,819.0
David Gaudu,2023,163230,1181106.0,10624.16,92.5,32.21523809523809,12.380952380952381,72.35238095238095,12.418095238095239,26.511859984899576,1388.0
Franck Bonnamour,2021,77044,804996.0,6841.32,87.8,30.378205128205128,8.987179487179487,84.05128205128206,18.346153846153847,18.342005175063388,3875.0
Franck Bonnamour,2022,90558,997781.0,8112.94,90.3,29.11214953271028,10.869158878504672,82.73831775700934,17.629906542056077,34.55758242434494,12636.0
Pierre Rolland,2021,98244,1119608.0,9672.38,528.5,29.844859813084113,11.355140186915888,70.33644859813084,11.73644859813084,20.00751305794107,8591.0
Pierre Rolland,2022,159036,1829289.0,16863.53,163.1,31.456756756756757,13.27027027027027,71.68108108108108,12.136216216216216,22.096691381186897,12873.0
Quentin Pacher,2021,106655,885487.0,7629.05,97.2,31.22,14.525,66.675,12.2425,19.191377943068794,6934.0
Quentin Pacher,2023,82021,770067.0,6515.96,95.2,30.584285714285716,12.871428571428572,71.61428571428571,12.294285714285715,27.149031084308245,12823.0
Thibaut Pinot,2022,103298,704996.0,5993.31,90.7,30.68653846153846,10.0,79.25,6.9788461538461535,31.394986637458768,3025.0
Thibaut Pinot,2023,117059,837933.0,6936.2,93.0,30.03030303030303,9.651515151515152,79.9090909090909,7.336363636363636,27.884432466075943,1683.0
Warren Barguil,2023,61031,531040.0,4529.68,84.1,30.051063829787235,13.72340425531915,80.74468085106383,14.651063829787235,21.183545258698548,4626.0
